hs_code,product_description
020130,"Meat; of bovine animals, boneless cuts, fresh or chilled"
020230,"Meat; of bovine animals, boneless cuts, frozen"
020329,"Meat; of swine, n.e.c. in item no. 0203.2, frozen"
020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen"
030214,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030617,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water"
040690,"Dairy produce; cheese (not grated, powdered or processed), n.e.c. in heading no. 0406"
070200,"Vegetables; tomatoes, fresh or chilled"
080390,"Fruit, edible; bananas, other than plantains, fresh or dried"
080610,"Fruit, edible; grapes, fresh"
090111,Coffee; not roasted or decaffeinated
090121,"Coffee; roasted, not decaffeinated"
100199,"Cereals; wheat and meslin, other than durum wheat, other than seed"
100590,"Cereals; maize (corn), other than seed"
100630,"Cereals; rice, semi-milled or wholly milled, whether or not polished or glazed"
120190,"Soya beans; other than seed, whether or not broken"
120510,"Oil seeds; low erucic acid rape or colza seeds, whether or not broken"
151190,"Vegetable oils; palm oil and its fractions, other than crude, whether or not refined, but not chemically modified"
170114,"Sugars; cane sugar, raw, in solid form, other than as specified in Subheading Note 2 to this chapter, not containing added flavouring or colouring matter"
170490,"Sugar confectionery; (excluding chewing gum, including white chocolate), not containing cocoa"
180100,"Cocoa beans; whole or broken, raw or roasted"
180690,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18
190110,"Food preparations; of flour, meal, starch, malt extract or milk products, suitable for infants or young children, put up for retail sale"
190590,"Food preparations; bakers' wares n.e.c. in heading no. 1605, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice papers and similar products"
210390,Sauces and preparations therefor; mixed condiments and mixed seasonings
210690,Food preparations; n.e.c. in item no. 2106.10
220210,"Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured"
220300,Beer; made from malt
220421,"Wine; still, in containers holding 2 litres or less"
220830,Whiskies
230400,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil"
230910,"Dog or cat food; put up for retail sale, used in animal feeding"
230990,"Dog or cat food; (not put up for retail sale), used in animal feeding"
240220,Cigarettes; containing tobacco
260111,Iron ores and concentrates; non-agglomerated
260112,Iron ores and concentrates; agglomerated (excluding roasted iron pyrites)
260300,Copper ores and concentrates
260600,Aluminium ores and concentrates
260800,Zinc ores and concentrates
270112,"Coal; bituminous, whether or not pulverised, but not agglomerated"
270119,"Coal; (other than anthracite and bituminous), whether or not pulverised but not agglomerated"
270210,"Lignite; whether or not pulverised, but not agglomerated, excluding jet"
270799,Oils and other products of the distillation of high temperature coal tar; n.e.c. in heading no. 2707
270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
271012,"Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations"
271019,"Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; not light oils and preparations"
271020,"Petroleum oils and oils from bituminous minerals, containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals"
271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas"
271112,"Petroleum gases and other gaseous hydrocarbons; liquefied, propane"
271113,"Petroleum gases and other gaseous hydrocarbons; liquefied, butanes"
271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas"
271320,Petroleum bitumen; obtained from bituminous minerals
271600,Electrical energy
281820,Aluminium oxide; other than artificial corundum
290243,Cyclic hydrocarbons; p-xylene
290511,"Alcohols; saturated monohydric, methanol (methyl alcohol)"
293339,"Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, n.e.c. in 2933.3"
293359,"Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5"
293379,Heterocyclic compounds; lactams; other than 6-hexanelactam (epsilon caprolactam) and clobazam (INN) and methyprylon (INN)
293399,Heterocyclic compounds; n.e.c. in headings no. 2933
293499,"Nucleic acids and their salts, other heterocyclic compounds, n.e.c. in heading number 2934"
293590,Sulphonamides; n.e.c. in heading no. 2935
293719,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues; other than somatotropin, (its derivatives and structural anaologues) and insulin and its salts"
300212,"Blood, human or animal, antisera, other blood fractions and immunological products; antisera and other blood fractions"
300214,"Blood, human or animal, antisera, other blood fractions and immunological products; immunological products, mixed, put up in measured doses or in forms or packings for retail sale"
300215,"Blood, human or animal, antisera, other blood fractions and immunological products; immunological products, put up in measured doses or in forms or packings for retail sale"
300241,"Vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products; for human medicine"
300390,"Medicaments; (not containing antibiotics, hormones, alkaloids or their derivatives), for therapeutic or prophylactic uses, (not packaged for retail sale)"
300420,"Medicaments; containing antibiotics (other than penicillins, streptomycins or their derivatives), for therapeutic or prophylactic uses, packaged for retail sale"
300432,"Medicaments; containing corticosteroid hormones, their derivatives or structural analogues (but not containing antibiotics), for therapeutic or prophylactic uses, packaged for retail sale"
300439,"Medicaments; containing hormones (but not insulin), adrenal cortex hormones or antibiotics, for therapeutic or prophylactic uses, packaged for retail sale"
300490,"Medicaments; consisting of mixed or unmixed products n.e.c. in heading no. 3004, for therapeutic or prophylactic uses, packaged for retail sale"
310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution"
310420,"Fertilizers, mineral or chemical; potassic, potassium chloride"
330210,Odoriferous substances and mixtures; of a kind used in the food or drink industries
330300,Perfumes and toilet waters
330499,"Cosmetic and toilet preparations; n.e.c. in heading no. 3304, for the care of the skin (excluding medicaments, including sunscreen or sun tan preparations)"
380893,"Herbicides, anti-sprouting products and plant-growth regulators; other than containing goods of Subheading Note 1 to this Chapter; put up in forms or packings for retail sale or as preparations or articles"
381800,"Chemical elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics"
382219,"Reagents; diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, whether or not put up in the form of kits; n.e.c.in item 3822.1"
382499,"Chemical products, mixtures and preparations; n.e.c. heading 3824"
382600,Biodiesel and mixtures thereof; not containing or containing less than 70% by weight of petroleum oils or oils obtained from bituminous minerals
390110,"Ethylene polymers; in primary forms, polyethylene having a specific gravity of less than 0.94"
390120,"Ethylene polymers; in primary forms, polyethylene having a specific gravity of 0.94 or more"
390140,"Ethylene polymers; in primary forms, ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94"
390210,"Propylene, other olefin polymers; polypropylene in primary forms"
390230,"Propylene, other olefin polymers; propylene copolymers in primary forms"
390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms"
390740,Polycarbonates; in primary forms
390810,"Polyamides; polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms"
391810,"Floor, wall or ceiling coverings; of polymers of vinyl chloride, whether or not self-adhesive, in rolls or in the form of tiles"
391990,"Plastics; plates, sheets, film, foil, tape, strip, other flat shapes thereof, self-adhesive, other than in rolls of a width not exceeding 20cm"
392010,"Plastics; plates, sheets, film, foil and strip (not self-adhesive), of polymers of ethylene, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392190,"Plastics; plates, sheets, film, foil and strip, other than cellular"
392310,"Plastics; boxes, cases, crates and similar articles for the conveyance or packing of goods"
392321,"Ethylene polymers; sacks and bags (including cones), for the conveyance or packing of goods"
392410,Plastics; tableware and kitchenware
392690,Plastics; other articles n.e.c. in chapter 39
400122,"Rubber; technically specified natural rubber (TSNR), in primary forms or in plates, sheets or strip (excluding latex and smoked sheets)"
401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)"
401120,"Rubber; new pneumatic tyres, of a kind used on buses or lorries"
401519,"Rubber; vulcanised (other than hard rubber), gloves, mittens and mitts other than surgical gloves"
401693,"Rubber; vulcanised (other than hard rubber), gaskets, washers and other seals, of non-cellular rubber"
401699,"Rubber; vulcanised (other than hard rubber), articles n.e.c. in heading no. 4016, of non-cellular rubber"
420221,"Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather"
420222,"Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of sheeting of plastics or of textile materials"
420292,"Cases and containers; n.e.c. in heading 4202, with outer surface of sheeting of plastics or of textile materials"
440712,"Wood; coniferous species, of fir (Abies spp.) and spruce (Picea spp.), sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or finger-jointed, of a thickness exceeding 6mm"
470321,"Wood pulp; chemical wood pulp, soda or sulphate, (other than dissolving grades), semi-bleached or bleached, of coniferous wood"
470329,"Wood pulp; chemical wood pulp, soda or sulphate, (other than dissolving grades), semi-bleached or bleached, of non-coniferous wood"
490199,"Printed matter; books, brochures, leaflets and similar printed matter n.e.c. in item no. 4901.10 or 4901.91"
520100,Cotton; not carded or combed
610910,"T-shirts, singlets and other vests; of cotton, knitted or crocheted"
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles; of cotton, knitted or crocheted"
611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles; of man-made fibres, knitted or crocheted"
710812,"Metals; gold, non-monetary, unwrought (but not powder)"
710813,"Metals; gold, semi-manufactured"
711319,"Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof"
841191,Turbines; parts of turbo-jets and turbo-propellers
847130,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display"
847170,Units of automatic data processing machines; storage units
847330,"Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471"
851713,Telephone sets; smartphones for cellular or other wireless networks
851762,"Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus"
854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits"
854239,Electronic integrated circuits; n.e.c. in heading no. 8542
870321,"Vehicles; with only spark-ignition internal combustion piston engine, cylinder capacity not over 1000cc"
870322,"Vehicles; with only spark-ignition internal combustion piston engine, cylinder capacity over 1000 but not over 1500cc"
870323,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc"
870840,Vehicle parts; gear boxes and parts thereof
880240,"Aeroplanes and other aircraft, except unmanned; of an unladen weight exceeding 15,000kg"
999999,Commodities not specified according to kind
300220,vaccines for human medicine
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic/laboratory reagents."
851712,Telephones for cellular (mobile) networks or for other wireless networks
